COURSE,YEAR,INTEGRANTES
Controle de doenças em grandes culturas,2009,['Dejânia Vieira de Araújo']
Patologia de sementes em grandes culturas,2009,['Dejânia Vieira de Araújo']
Patologia de Sementes,2014,['Dejânia Vieira de Araújo']
