COURSE,YEAR,INTEGRANTES
Preparo e Utilização de Caldas para Controle Ecológico de Pragas e Doenças em Olerículas e Fruteiras,2004,"['Oscar Mitsuo Yamashita', 'Adalberto Santi', 'Ostenildo Ribeiro Campos']"
Técnicas de Amostragem para Diagnose Foliar e do Solo,2002,"['Oscar Mitsuo Yamashita', 'Adalberto Santi']"
Formação Inicial e Continuada em Jardinagem,2006,['Adalberto Santi']
Formação Inicial e Continuada em Assistente de Paisagismo,2006,['Adalberto Santi']
Cultivo de Hortaliças em Ambiente Protegido,2009,['Adalberto Santi']
