COURSE,YEAR,INTEGRANTES
Secagem de Plantas Medicinais - 79 Semana do Fazendeiro,2008,"['Evandro de Castro Melo', 'Ronicely Pereira da Rocha']"
Secador de plantas medicinais,2002,"['Evandro de Castro Melo', 'Ronicely Pereira da Rocha', 'Lauri Lourenço Radunz']"
