COURSE,YEAR,INTEGRANTES
Formação Continuada na Escola Municipal 'Vila Irene',2010,['Maritza Maciel Castrillon Maldonado']
Formação Continuada: Avaliação na Educação Infantil,2012,['Maritza Maciel Castrillon Maldonado']
CINECLUBE (RE)EXISTÊNCIA: Formação Continuada de Professores através de cineclubes - Infâncias,2016,"['Maritza Maciel Castrillon Maldonado', 'JOAO DE DEUS DOS SANTOS', 'DIMAS SANTANA NEVES', 'WALLACE DOS SANTOS VIEIRA', 'KASSIA AUXILIADORA FILIAGI GREGORY', 'Naiara Cassia dos Santos', 'RODRIGO ALVES BANDEIRA', 'NAINE TERENA DE JESUS']"
Educação Infantil: Desafios e perspectivas,2016,['Maritza Maciel Castrillon Maldonado']
"CINECLUBE (RE)EXISTÊNCIA - Genero, sexualidade e deficiências",2017,"['Maritza Maciel Castrillon Maldonado', 'JOAO DE DEUS DOS SANTOS', 'Dimas Santana', 'WALLACE DOS SANTOS VIEIRA', 'KASSIA AUXILIADORA FILIAGI GREGORY', 'ROSILENE LOPES', 'RODRIGO ALVES BANDEIRA', 'AILON DO VALE SIMÃO']"
CINECLUBE (RE)EXISTÊNCIA: Questões Etnico Raciais e Xenofobia,2017,"['Maritza Maciel Castrillon Maldonado', 'JOAO DE DEUS DOS SANTOS', 'Dimas Santana', 'AILON DO VALE SIMÃO', 'RODRIGO ALVES BANDEIRA', 'ROSILENE LOPES', 'Danielle Cevallos Soares', 'Luana dos Santos Nogueira Garcia', 'KASSIA AUXILIADORA FILIAGI GREGORY']"
Palestra intitulada: Rotina e Ritmo na Educação Infantil,2010,['Maritza Maciel Castrillon Maldonado']
Palestra:,2010,['Maritza Maciel Castrillon Maldonado']
