COURSE,YEAR,INTEGRANTES
Curso de análise estatística pelo ESTAT,2008,['Anísio da Silva Nunes']
Curso de Análise da Produção Vegetal,2016,"['Anísio da Silva Nunes', 'Tricia Costa Lima', 'Daniel Soares Alves']"
Curso de Excel aplicado à Agronomia,2016,"['Anísio da Silva Nunes', 'Tricia Costa Lima']"
