COURSE,YEAR,INTEGRANTES
"Aula ministrada na disciplina de pós-graduação 'Relações solo, água, planta e atmosfera'",2017,"['Rivanildo Dallacort', 'Maria Carolina da Silva Andrea']"
Aula ministrada na disciplina de pós-graduação 'Agricultura e a conservação ambiental',2018,"['Monica josene pereira barbosa', 'Danielle Storck Tonon', 'Maria Carolina da Silva Andrea']"
Aulas ministrada na disciplina de graduação 'Agrometeorologia',2018,"['Rivanildo Dallacort', 'Maria Carolina da Silva Andrea']"
Aula ministrada na disciplina de pós-graduação 'Tópicos especiais: Análise de dados usando o Programa R',2018,"['Danielle Storck Tonon', 'Maria Carolina da Silva Andrea']"
Introdução ao uso do R no ambiente agrícola,2019,"['Maria Carolina da Silva Andrea', 'TIEPPO, RAFAEL CESAR', 'DALLACORT, RIVANILDO']"
