COURSE,YEAR,INTEGRANTES
Educação Ambiental Crítica: o encontro dialético da realidade vivida e da utopia imaginada,2005,['Laudemir Luiz Zart']
Construção de Educação do Campo: fundamentos gnosiológicos,2010,['Laudemir Luiz Zart']
Curso de Qualificação de Camponeses/as em Socioeconomia Solidária e Cooperativismo Solidário no Município de Cáceres,2011,"['Laudemir Luiz Zart', 'Cóvis Vailant', 'Jesus Vieira de Oliveira', 'Edson Penha Mendes']"
Os Desafios Teóricos e Metodológicos da Educação Ambiental.,1998,['Laudemir Luiz Zart']
Filosofia da Práxis: pensamento político e educacional em Gramsci,2006,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Ilma Ferreira Machado', 'Cóvis Vailant']"
Curso de Atualização: Educação do Campo e Socioeconomia Solidária,2011,['Laudemir Luiz Zart']
Oficina Geral de Educação do Campo,2010,['Laudemir Luiz Zart']
Conferência Municipal de Educação do Campo do Município de Cáceres - MT,2011,['Laudemir Luiz Zart']
III Colóquio de Educação do Campo,2011,"['Laudemir Luiz Zart', 'Ilma Ferreira Machado', 'Odimar João Peripolli']"
Minicurso - Socioeconomia Solidária: campo teórico e acional transdisciplinar,2011,['Laudemir Luiz Zart']
Disciplina: Organização da Produção do Campo,2011,"['Laudemir Luiz Zart', 'Marcos Chaves']"
Disciplina: Cooperativismo Solidário,2011,['Laudemir Luiz Zart']
Disciplina: Socioeconomia Solidária,2011,['Laudemir Luiz Zart']
"Ciclo de Debates em Políticas Públicas, Participação e Controle Social do Estado - Seminário Integrado II: Movimentos Sociais, Socioeconomia Solidária e Mecanismos de Controle Social do Estado",2011,"['Laudemir Luiz Zart', 'Adjair Moreira dos Santos', 'Fabiano Fernandes de Oliveira Pinto', 'Joilson Alves Pinheiro', 'Tiago Silva Rabello']"
"Ciclo de Debates em Políticas Públicas, Participação e Controle Social do Estado Seminário Integrador I: Construção do Conhecimento e do Poder",2010,"['Laudemir Luiz Zart', 'Esvanei Matucari', 'Jânio Celso Silva Veiga', 'Taciane Neves Faustino Ferreira']"
"Ciclo de Debates em Políticas Públicas, Participação e Controle Social do Estado Seminário Integrador III: Educação Popular, Pedagogia Coletiva, Territorialidades e Diversidades, Relações de Gênero e Étnicas",2011,"['Laudemir Luiz Zart', 'Kele Cristina dos Reis', 'Emanoel Pedro Borromeu da Silva', 'Cristiane Gonçalves Ribeiro', 'Esvanei Matucari', 'Fabiano Fernandes de Oliveira Pinto']"
"Ciclo de Debates em Políticas Públicas, Participação e Controle Social do Estado Feira do Conhecimento I: A Construção da Autobiografia",2011,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'João Ivo Puhl', 'Edson Penha Mendes', 'Dinairan Dantas Souza', 'Maria Pereira dos Santos']"
"Ciclo de Debates em Políticas Públicas, Participação e Controle Social do Estado Feria do Conhecimento II: inserção, participação e entidades sociais",2011,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Edson Penha Mendes', 'João Ivo Puhl', 'Dinairan Dantas Souza']"
"Ciclo de Debates em Políticas Públicas, Participação e Controle Social do Estado Feria do Conhecimento II: inserção, participação e entidades sociais",2011,"['Laudemir Luiz Zart', 'Heloisa Salles Gentil', 'Edson Penha Mendes', 'Dinairan Dantas Souza']"
Disciplina: Filosofia da Práxis,2010,"['Laudemir Luiz Zart', 'Josivaldo Constantino dos Santos']"
