COURSE,YEAR,INTEGRANTES
Dinâmica de herbicidas no ambiente,2005,['Miriam Hiroko Inoue']
Manejo de aplicação de defensivos agrícolas,2009,['Miriam Hiroko Inoue']
Noções básicas de Morfologia Vegetal,2003,"['Miriam Hiroko Inoue', 'Cleber Daniel de Góes Maciel']"
Dinâmica de herbicidas na cultura da cana-de-açúcar,2009,['Miriam Hiroko Inoue']
