COURSE,YEAR,INTEGRANTES
Oficinas Pedagógicas,2011,"['Ana Sebastiana Monteiro Ribeiro', 'MARIA DA PENHA FORNANCIARI ANTUNES']"
Curso de capacitação de professores do Ensino Fundamental,2004,['Ana Sebastiana Monteiro Ribeiro']
Curso de Pós-Graduação Lato Sensu em Gestão Escolar - Disciplina: Planejamento e execução de Projeto Pedagógico,2006,['Ana Sebastiana Monteiro Ribeiro']
Técnicas de Alfabetização,2008,['Ana Sebastiana Monteiro Ribeiro']
Educação Inclusiva e o compromisso social,2008,['Ana Sebastiana Monteiro Ribeiro']
Educação Inclusiva: Uma prática social,2008,['Ana Sebastiana Monteiro Ribeiro']
