COURSE,YEAR,INTEGRANTES
Utilização de Extratos de Plantas no Controle de Pragas,2005,['Mônica Josene Barbosa Pereira']
I CURSO DE IDENTIFICAÇÃO E MONITORAMENTO DO BICUDO DO ALGODOEIRO,2004,"['Cristina Schetino Bastos', 'Mônica Josene Barbosa Pereira']"
Controle alternativo de pragas,2004,['Mônica Josene Barbosa Pereira']
