COURSE,YEAR,INTEGRANTES
Política pública de educação municipal,2001,['Dimas Santana Souza Neves']
Avaliação institucional e políticas públicas de avaliação,2001,['Dimas Santana Souza Neves']
Organização da educação nacional e os sistemas de ensino,2002,['Dimas Santana Souza Neves']
"Organização, estrutura e funcionamento da educação básica",1999,['Dimas Santana Souza Neves']
Organização do ensino no estabelecimento escolar e a relação professor aluno,2004,['Dimas Santana Souza Neves']
