COURSE,YEAR,INTEGRANTES
Filosofia da Educação,2001,['Maria do Horto Salles Tiellet']
Ética e Educação,2004,['Maria do Horto Salles Tiellet']
Curso de Capacitação em Gestão Educacional,2001,['Maria do Horto Salles Tiellet']
Ciência e Complexidade,2003,['Maria do Horto Salles Tiellet']
