COURSE,YEAR,INTEGRANTES
Concepções e Sistemas de Avaliação da Aprendizagem (2º módulo),2010,['Elizeth Gonzaga dos Santos Lima']
Estudo dos descritores da Prova Brasil na área de linguagem e matemática,2009,"['Elizeth Gonzaga dos Santos Lima', 'Ana Maria Di Renzo', 'Emília Darci Cuiabano', 'Albemary']"
Educação Infantil - Concepções de Desenvolvimento e Aprendizagem; Parâmetros Curriculares (RCNEI),2009,"['Emília Darci Cuiabano', 'Elizeth Gonzaga dos Santos Lima']"
Concepções e Sistemas de Avaliação da Aprendizagem (1º módulo),2010,['Elizeth Gonzaga dos Santos Lima']
