COURSE,YEAR,INTEGRANTES
Curso de Formação do Programa Escola Ativa,2009,['Ilma Ferreira Machado']
Elaboração de Projeto político-Pedagógico,2009,['Ilma Ferreira Machado']
A II formação de educadores(as) do campo do Estado Mato Grosso,2008,['Ilma Ferreira Machado']
Educação do campo: uma discussão sobre as legislações vigentes,2010,"['Valdivina Vilela Pagel', 'Ilma Ferreira Machado']"
Práticas Pedagógicas na Educação do Campo,2015,['Ilma Ferreira Machado']
Teoria dos Movimentos Sociais,2015,"['Ilma Ferreira Machado', 'heloisa sales gentil']"
Educação e Trabalho Associado,2014,['Ilma Ferreira Machado']
Planejamento de Ensino e Currículo por Complexo de Estudo,2014,['Ilma Ferreira Machado']
Currículo para educação do campo,2016,['Ilma Ferreira Machado']
Planejamento para Educação de Jovens e Adultos do MST,2005,['Ilma Ferreira Machado']
Educação do Campo,2015,"['Ilma Ferreira Machado', 'Maria de Lourdes Jorge de Sousa']"
