COURSE,YEAR,INTEGRANTES
Algumas reflexões sobre a gestão pedagógica escolar,2008,['Rosalva Pereira de Alencar']
Gestão Político- pedagógica: estudos e reflexões,2009,['Rosalva Pereira de Alencar']
Gestão Político-administrativa e pedagógica: aproximações,2008,['Rosalva Pereira de Alencar']
A Construção do Projeto Político Pedagógico,2007,"['Rosalva Pereira de Alencar', 'Marilda de Oliveira Costa']"
Gestão Pedagógica: algumas,2006,['Rosalva Pereira de Alencar']
A Construção do Projeto Político Pedagógico: possibilidades,2007,['Rosalva Pereira de Alencar']
Especialização em Gestão Escolar,2006,['Rosalva Pereira de Alencar']
