COURSE,YEAR,INTEGRANTES
Processos de participação política,2014,"['Aparecido de Assis', 'João Ivo Puhl']"
Formação ética do ser humano na filosofia de Kant,2004,['Aparecido de Assis']
A importância da disciplina na educação escolar para a formação ética do ser humano,2005,['Aparecido de Assis']
Eros e Dialética no Fedro de Platão,2007,['Aparecido de Assis']
Sábado filosófico,2008,['Aparecido de Assis']
Sábado Filosófico,2008,['Aparecido de Assis']
A educação física e moral da criança,2003,['Aparecido de Assis']
