COURSE,YEAR,INTEGRANTES
Professora de Estagio Supervisionado no Curso de Pedagogia Turma Especial Campos de Julio,2007,"['Maria da Penha Fornanciari Antunes', 'Ana Sebastiana Monteiro Ribeiro']"
Professora de Abordagens de Pesquisa Educacional curso de Especialização em Gestão Escolar,2006,['Maria da Penha Fornanciari Antunes']
Capacitação Dinâmica do Trabalho e a Organização do Espaço na Educação Infantil,2009,['Maria da Penha Fornanciari Antunes']
Pesquisa:reflexões teoricas e normas técnicas,2009,['Maria da Penha Fornanciari Antunes']
Metodologia de Estudo e Pesquisa em Administração Pública,2011,['Maria da Penha Fornanciari Antunes']
Professora de Monografia II na Turma Especial de Filosofia 2004-2006,2006,['Maria da Penha Fornanciari Antunes']
