COURSE,YEAR,INTEGRANTES
Os princípios do desenvolvimento sustentável articulados ao Planejamento Estratégico,2007,"['Rinalda Bezerra Carlos', 'Albina Pereira de Pinho Silva']"
Cuidar de si e do outro: uma responsabilidade ética,2007,['Rinalda Bezerra Carlos']
FORMAÇÃO CONTINUADA DE PROFISSIONAIS DE APOIO,2006,"['Rinalda Bezerra Carlos', 'Aclyse de Mattos', 'Everton Almeida Barbosa']"
A ÉTICA NOS PROCESSOS PEDAGÓGICOS,2007,['Rinalda Bezerra Carlos']
EDUCAR PARA HUMANIZAR,2008,['Rinalda Bezerra Carlos']
